Uniprot,iBAQ A549_1,iBAQ A549_2,iBAQ A549_3,iBAQ GAMG_1,iBAQ GAMG_2,iBAQ GAMG_3,iBAQ HEK293_1,iBAQ HEK293_2,iBAQ HEK293_3,iBAQ HeLa_1,iBAQ HeLa_2,iBAQ HeLa_3,iBAQ HepG2_1,iBAQ HepG2_2,iBAQ HepG2_3,iBAQ Jurkat_1,iBAQ Jurkat_2,iBAQ Jurkat_3,iBAQ K562_1,iBAQ K562_2,iBAQ K562_3,iBAQ LnCap_1,iBAQ LnCap_2,iBAQ LnCap_3,iBAQ MCF7_1,iBAQ MCF7_2,iBAQ MCF7_3,iBAQ RKO_1,iBAQ RKO_2,iBAQ RKO_3,iBAQ U2OS_1,iBAQ U2OS_2,iBAQ U2OS_3
A0AUX1;A8K9X9;B4E0M8;Q06730;Q06732;Q3B799;B4E2J7,NaN,NaN,NaN,NaN,NaN,NaN,4.386356,NaN,4.438115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.006081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AV37;B4DR79;Q99959-2;Q99959;Q99959-1;B8QFA1;B8QGS6;B8QGS7;B8QGS9,3.416408,5.053232,3.922087,5.953547,6.288428,6.013974,4.590418,6.37271,5.999205,5.18418,5.171522,5.63753,6.006038,4.710583,5.423508,NaN,NaN,NaN,4.339769,NaN,4.438653,4.689841,5.474551,4.861696,5.695534,6.212401,5.707136,NaN,NaN,NaN,4.794746,5.290769,5.87751
A0AV56;A8K329;B7Z1C7;B7Z2F6;B7Z5X3;B7ZLP6;Q15424;B7Z959;B7ZLP5;Q68DW3;B7Z2Z1;B7Z5B6,6.655033,6.898917,6.838106,6.553883,7.101678,6.869648,7.15664,7.808116,7.339272,7.174118,6.891627,7.323046,6.807156,6.102434,6.67109,6.676922,6.006381,7.184663,7.223262,6.582813,5.232285,6.829298,7.311754,7.287578,6.779012,7.18935,6.88437,6.787807,6.496888,5.155154,6.911552,7.028002,7.448629
A0AV96-1;A0AV96;B7Z8Z7;B7ZLP7;A0AV96-2,5.964561,6.431717,6.154485,4.499714,NaN,5.48636,NaN,NaN,5.287533,5.808609,4.875409,6.047431,4.85665,4.029384,5.079796,NaN,NaN,NaN,NaN,NaN,NaN,6.564737,6.878039,6.809513,6.037267,5.797163,5.873756,NaN,NaN,NaN,NaN,NaN,NaN
A0AVF1;C9J2N7;B7Z5M0;B7Z1H0;B7Z6R6;B7Z2T3,4.444139,5.03274,4.468746,4.685975,4.738725,5.130848,5.533556,6.262309,5.671284,NaN,3.479705,4.700219,NaN,NaN,NaN,NaN,NaN,4.486954,3.948633,NaN,3.398877,5.417388,5.873262,5.741569,4.92343,5.173011,5.361199,4.43369,NaN,4.677589,3.950277,4.920478,5.501142
A0AVI4-1;A0AVI4;B4E1K4;A0AVI4-2,NaN,NaN,3.874412,NaN,4.53599,5.308415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AVK6;B5MEH2,NaN,NaN,5.132772,NaN,NaN,NaN,NaN,NaN,3.576756,NaN,NaN,NaN,NaN,NaN,NaN,4.01102,NaN,4.612975,4.216852,NaN,3.218535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AVT1-1;A0AVT1;B3KSS1;A0AVT1-2,6.274758,6.476498,5.796595,6.427989,6.875744,6.211921,6.346529,6.810273,6.598681,6.262285,5.891521,5.820398,6.63729,6.340821,6.406319,6.6798,5.966634,6.7136,6.911317,6.092089,5.948897,6.5217,7.016156,6.843364,6.44632,6.836425,6.789002,7.075875,6.434409,6.12274,6.654975,7.061603,7.468687
A0EJG6;B3KXQ5;Q14194;B3KT07;B3KV96;Q4W5F1;Q96I11,NaN,4.442809,NaN,NaN,4.958893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.681756,NaN,NaN,NaN,NaN,6.064196,6.43543,7.070666
A0JI59;A0S2J8;A0S330;A0S3I6;A0S4I7;A0S4R5;A0S9T8;A0SAT9;A0SB69;A0SBS7;A0SBW6;A0SC83;A0SCE8;A0SCZ3;A1DUW3;A1DV02;A1E1L5;A1E221;A4GWW9;A4ZYF4;A6YTJ2;A6YV64;A6YVI1;A6YVN3;A6YW38;A6YWC7;A6YWG6;A6YWY5;A6YY11;A6YY37;A6YYH9;A6YYU6;A6YZ50;A6YZL9;A6Z025;A6Z0Q9;A6Z0Y7;A6Z1U8;A6Z2P7;A6Z2W2;A6Z2Y8;A6Z4Y8;A6Z6A5;A6Z8I4;A6Z903;A6Z9H2;A6Z9Z1;A6ZA95;A6ZAN7;A6ZB95;A6ZC44;A6ZCE8;A6ZDE8;A6ZDK0;A6ZEQ1;A6ZF82;A6ZFI6;A6ZFL2;A6ZFQ1;A6ZGR2;A6ZGZ0;A6ZH67;A6ZH80;A6ZHB8;A6ZHE2;A6ZHG7;A6ZHY2;A6ZI08;A7LPC5;A8JL43;A8JLE7;A8JMK3;A8JN36;A9QXT2;A9UJA1;B0FZC1;B2CB20;B2CB33;B2CB59;B2D3N5;B2D597;B2D5J6;B2D647;B2XF03;B2XGQ9;B2XGU8;B2XGY7;B2XH13;B2XHJ4;B2XHT5;B2XI26;B2XI38;B2XJP6;B2XKA3;B2XKB6;B2XKE2;B2XLB7;B2XLJ5;B2XMA4;B2XMD0;B2XMS3;B2XN13;B2XNG6;B2XPV8;B2XQ22;B2XQU2;B2Z4H6;B2Z573;B2ZUL3;B2ZUZ4;B3GTF4;B4YC62;B4YD74;B4YDT0;B5B695;B5LMK0;B5M7J0;B5M7X0;B7TNT0;B7TNY2;B7ZIW0;B7ZJ12;B8R3C3;B8X480;B9EFL3;C1IF78;C7AB29;C7B2P7;C7B2W2;C7B379;C7B3D1;C7B3R1;C7B3Y8;C7SDW7;Q06T85;Q06TD7;Q06TG3;Q06TR7;Q06TW9;Q06U73;Q06UL6;Q0Z7C9;Q0Z7E2;Q0Z7F5;Q0Z7G8;Q0Z7I1;Q0Z7J4;Q0ZDA1;Q0ZFD6;Q0ZK09;Q0ZK87;Q150D3;Q150I3;Q150N3;Q150T3;Q151G4;Q15IN4;Q2LHI0;Q2LHQ8;Q2XV08;Q305A9;Q305I7;Q305N9;Q306D2;Q4EWE8;Q4EWG1;Q4EWK0;Q4EWL3;Q4EX71;Q4EXD6;Q4EY59;Q4EYI9;Q4EYM8;Q4EZ08;Q4EZ60;Q4EZ86;Q4EZ99;Q4EZC5;Q4F061;Q4F0B3;Q4F0F2;Q4F0J1;Q4F1H9;Q4F1P4;Q4F1U6;Q4F224;Q4F250;Q4F2G7;Q4F2K6;Q4F2U7;Q4F2Y6;Q4F2Z9;Q4F325;Q4F3A3;Q4F3E2;Q4F4A4;Q4F4E3;Q4F4I2;Q4F4P7;Q4F553;Q4F5R1;Q4F5S4;Q4F5Y9;Q50HP6;Q5GNC2;Q5MBF0;Q5S8P3;Q5S8Q6;Q5S8X1;Q5S9P4;Q5SA37;Q5SA63;Q5SAF4;Q5SAK6;Q5SAW0;Q5SB90;Q6PZ07;Q6R112;Q6R701;Q6RKX1;Q6RKY0;Q6RL09;Q6RLD5;Q6RLQ6;Q6RM70;Q6RN86;Q6RNC6;Q6RNH7;Q6RNW0;Q6RQ92;Q6RQJ1;Q6RQR4;Q6RQZ5;Q6RR49;Q6RRC2;Q6WQ82;Q6XB16;Q6XB24;Q6XB34;Q6XB68;Q7GXV8;Q7HZN7;Q7Y757;Q7Y784;Q7Y7L1;Q7Y7L3;Q7YCC2;Q7YCC5;Q7YCC9;Q7YCE1;Q7YCE7;Q7YCF5;Q7YCF9;Q7YCG2;Q7YCG3;Q7YCG5;Q7YCH0;Q7YCH2;Q7YED9;Q7YEE2;Q7YEF6;Q7YEF8;Q7YEG2;Q7YEH0;Q7YEH1;Q85BA9;Q85BE0;Q85KS7;Q85KT0;Q85KU0;Q85KU6;Q85KW3;Q85KW7;Q85KX0;Q85KX2;Q85KX6;Q85KY0;Q85KY2;Q85L03;Q85PI3;Q8SF05;Q9G345;Q9MJW3;Q9TES2;P00156;A1DT08;A1DT60;A1DT73;A1DT86;A1DTD8;A1DTL6;A1Z412;A1Z4B6;A1Z552;A1Z565;A1Z5D0;A4UVG7;A4UVJ5;A4ZKW0;A4ZKZ9;A4ZL12;A4ZL38;A4ZLB6;A4ZLC9;A4ZLE2;A4ZLF5;A4ZLG8;A4ZLI1;A4ZLM0;A4ZLP6;A4ZMC6;A4ZMX1;A4ZMZ7;A7IZ65;A7LDE8;A7LEI8;A7XSF7;A7XSL3;A7XT66;A7XT95;A7XTP7;A7XTV3;A7XTX6;A7XU66;A7Y9X0;A7YA93;A8DIL7;A8QJP7;B0EW43;B1W6T3;B1W913;B1W926;B1W9N4;B1WA27;B2KLF7;B2KLH0;B2KLH3;B2KLR1;B2KLW3;B2Y8L2;B2Y8N8;B2YAP0;B2ZW21;B3DDK9;B3DEV1;B4YGJ6;B4YH93;B5B0I2;B5U6B0;B6RGH2;B7TCQ9;B7U870;B8RF24;B8RFE1;B8RFN2;B8RFZ9;B8X4L0;B8X617;B8X669;B8X6H3;B8XZC7;B8YQL0;B9ECT8;B9ECW4;B9ED81;B9EDR3;B9EE04;B9EEA8;B9EF31;B9EFR5;B9EFS8;B9EFW7;C1KR23;C3W5D6;C3W5M2;C4PK48;C4PKA1;C4PKX8;C4RT29;C7FH94;C7SJS6;C7SJV2;C7SK69;C7SK95;C7SL96;C8XV35;C8XV61;C8XX76;C8Y092;C8Y0Y9;C8Y747;C8YAU7;C8YC39;C8YCJ5;C8YCN4;C8YCX5;C8YG56;C8YGU0;C8YID6;C9D4X8;C9D543;C9D5U0;C9D670;C9D6A9;D0UTS9;D0UTU3;Q0ZF97;Q0ZFL4;Q15H01;Q15H14;Q15H53;Q15HD1;Q15HJ6;Q15HK9;Q1ADG7;Q1ADI0;Q2HJZ5;Q2HK97;Q2HKD8;Q2HLC6;Q3S981;Q3S994;Q4G7D5;Q4G8P0;Q4G985;Q4G998;Q4G9L5;Q4G9P1;Q4GA99;Q4GAQ5;Q4GB09;Q4GB22;Q4GBH8;Q4GBL7;Q4GCS0;Q4GDB5;Q4GDF4;Q4GDL9;Q4GE64;Q4GEA3;Q4GEU8;Q4GFM1;Q4GG92;Q4GGB8;Q4GGJ6;Q4GGY9;Q4GHR2;Q4GHW4;Q4GIF9;Q4GJM5;Q4GJV3;Q4GK96;Q4GLU2;Q4GM46;Q4GMZ5;Q4GN21;Q4GN34;Q4GNK3;Q4GP48;Q4GPT2;Q4GQE0;Q4GQN1;Q4GQQ7;Q4GRF4;Q4GS38;Q4GS64;Q4GTI2;Q4GU53;Q4GUR1;Q4GUY9;Q4VFA8;Q4VFD5;Q4VFF9;Q4VFL3;Q4VFQ0;Q4ZEA0;Q4ZEQ6;Q4ZEU5;Q4ZF49;Q4ZF88;Q4ZFC7;Q5XRU6;Q5XRY5;Q5XSB5;Q5XSG7;Q5XT25;Q5XT51;Q5XTB6;Q5XTE2;Q5XTI1;Q6VHA3;Q6VHB3;Q6VHF3;Q6VHH3;Q6VHJ3;Q6VHS6;Q6VI47;Q6VI95;Q6VIA4;Q6VIH9;Q6VIL5;Q6VIN3;Q6VIV3;Q6VJ80;Q6VJC0;Q6VK00;Q6VKB6;Q6VLV1,6.602581,6.9776,NaN,6.323706,7.157124,5.571044,5.527565,6.119388,5.921853,6.551194,6.321288,5.417123,6.70705,6.523539,6.47884,6.397488,5.300182,NaN,5.806105,NaN,4.887207,6.429429,7.316494,7.29979,6.505068,6.851075,7.020113,6.681042,5.731613,5.086609,5.204391,6.626022,6.998551
A0JLR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.325844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0JLT2-1;A0JLT2;A0JLT2-2,5.075255,5.490717,NaN,NaN,NaN,5.923513,6.097708,6.950827,5.785792,5.132324,4.543758,4.789517,NaN,NaN,NaN,NaN,4.360271,6.221519,5.157608,4.328726,5.567896,NaN,5.37665,5.407985,5.059639,5.653078,5.686449,NaN,6.028449,6.128755,6.024281,5.193987,6.192957
A0JNW5-1;A0JNW5;Q63HQ7,4.151768,NaN,4.056676,NaN,NaN,4.142765,4.581062,5.073572,4.980821,NaN,NaN,4.598353,NaN,NaN,NaN,3.492439,NaN,3.902846,4.251176,NaN,4.162086,NaN,NaN,4.391482,NaN,NaN,4.182928,4.97813,NaN,3.420781,4.319169,NaN,5.497855
A0JNZ9;B3KU17;Q14586,NaN,NaN,3.895251,NaN,NaN,NaN,2.985521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0MTT2;B7Z1I4;C9JJW8;Q9P121-2;Q9P121;B7Z1H3;B7Z1Z5;B7Z9J9;Q9P121-1;Q9P121-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.081491,5.999039,5.890762
A0MZ66-1;A0MZ66;A0MZ66-3;A0MZ66-6;B7Z7Z9;A0MZ66-5;A0MZ66-4;A0MZ66-2,6.169998,6.360745,6.459619,6.226316,6.486558,6.457534,6.495919,6.565694,6.497676,6.395815,5.89755,6.104453,6.205204,5.5774,6.164769,4.627427,NaN,5.567426,6.237292,3.755745,5.017618,6.315257,6.756735,6.619553,6.299769,6.338616,6.355911,5.160078,5.204093,4.962379,5.047936,5.365282,6.028856
A0N0E2;A2V815;A4UTT5;A5A4G3;A5I8L1;A5JUX0;A6YT91;A7X594;A9R9N7;B2G3G4;B2LT55;B6E278;C5IWX5;C5IWX6;C5IWX9;C6H0P0;B0UZQ5;P01892;A0EVJ8;A0EVJ9;A0PFV7;A1E126;A1E127;A1Z0L6;A2BCQ4;A2TEL8;A2TJ23;A2VBX6;A3FEL9;A4USH3;A4UUL3;A4ZW41;A5A4L6;A5JSF5;A5JSF8;A5JSF9;A5JSG5;A5PHT6;A5YVG3;A5YVG5;A7L3S8;A7L3T2;A7LKN0;A7MAP2;A7UDS4;A8E0Y4;A8VYP1;A8YQI5;A9YQ94;A9YQA3;B0BKZ4;B0F9N2;B0LV24;B1B6Q4;B1PQ26;B1PQ32;B1Q4W3;B1VK55;B3G4T8;B3V8R7;B3V990;B4XAM4;B5A516;B5AFW9;B5LZ18;B5LZ20;B5LZ23;B6ECH5;B6VAW7;B6VAW8;B8Y1X7;B8Y1Y4;B8YCR3;B8YCR4;B8YCR5;B8YCR6;C0M111;C0M116;C1KBJ4;C1KJK7;C4PJK5;C5IZK6;C5IZP1;C5IZR8;C5J019;C6K4D8;C6K4E0;C6K4F6;C6K4I2;C7DRR9;C7FDP0;C7FDP6;C7FDP7;C7FDP8;C7FDQ1;C8C9V3;C8CH64;C8XTN2;C8XTN3;C8XTP0;C9E1D2;C9E1E3;C9E1E4;C9WEK4;C9WEK6;C9WEK8;C9WEK9;C9WEL5;C9WEM0;C9WEM5;C9WEM6;C9WEM8;C9WEM9;D0V481;O02922;O19520;O19560;O19561;O19562;O19642;O19671;O19672;O19796;O19797;O46852;O62891;O78126;O98007;P78376;P79495;P79557;P79603;Q05G00;Q05G04;Q06FC3;Q09K11;Q0P6N9;Q0ZAX1;Q106U3;Q14FJ2;Q1G4P1;Q1HHB9;Q1KLJ7;Q1PBJ9;Q1W5T2;Q206J8;Q25B79;Q27I52;Q27I55;Q29738;Q29740;Q29741;Q29756;Q29757;Q29920;Q29945;Q2HQJ5;Q2I0Z0;Q2I0Z3;Q2L8A6;Q2LC95;Q2YHQ6;Q30176;Q308P3;Q38MU0;Q38MU1;Q38MU4;Q3BK09;Q3LRR6;Q3LRR7;Q4A1D3;Q4GX03;Q4JLV8;Q4LAU0;Q4QYZ9;Q4VYE6;Q4VYU3;Q4W6C3;Q4W6C5;Q50I06;Q52QV5;Q52YL7;Q53YS0;Q53Z42;Q53ZP1;Q53ZT6;Q540M3;Q546F7;Q546Q4;Q56H48;Q5D5C6;Q5ENW1;Q5ENW2;Q5EPE9;Q5G0H0;Q5K145;Q5K146;Q5MAG5;Q5MD70;Q5QRY8;Q5R1M0;Q5W9R8;Q60I39;Q68Y63;Q6F3H0;Q6F3I9;Q6J0S2;Q6L676;Q6L6P9;Q6L6Q3;Q6L6R5;Q6L6T0;Q6R741;Q6UJZ7;Q6VS85;Q704F3;Q70FC8;Q75NJ3;Q75WB6;Q7YNX8;Q7YNX9;Q7YNY1;Q7YNY2;Q7YP22;Q7YP24;Q7YQ39;Q7YQ40;Q85ZX7;Q860A9;Q860R3;Q861A6;Q861A8;Q861F6;Q861F7;Q8HWG6;Q8HWG7;Q8HWQ8;Q8HWQ9;Q8HX85;Q8MHN7;Q8MHN8;Q8MHP7;Q8MHP8;Q8SNB2;Q8SNB3;Q8SP57;Q8WLS4;Q8WLT0;Q8WMB4;Q8WUX3;Q95387;Q95IB1;Q95IB5;Q95IC1;Q95IY9;Q95IZ3;Q95J05;Q9BD14;Q9GIN0;Q9GJ24;Q9GJ42;Q9GJM0;Q9MY36;Q9MY98;Q9MYA9;Q9MYB7;Q9MYE1;Q9MYF0;Q9MYF6;Q9MYF8;Q9TNQ7;Q9TP39;Q9TPQ5;Q9TPQ6;Q9TPR6;Q9TPS0;Q9TPT7;Q9TPT8;Q9TPU2;Q9TPU6;Q9TPV7;Q9TPW4;Q9TPX5;Q9TQ25;Q9TQ65;Q9TQ68;Q9TQ73;Q9TQB6;Q9TQG8;Q9TQL5;Q9TQP4;Q9UQU0;B0UZQ4;A9R9N8;A0SY05;A1DZU4;A5HBZ4;A5HJL0;A5HKN9;A5JSG0;A5JSG1;A6N9E1;A7BKB6;A7MAE1;A7WPI9;A7X555;A7X588;A8E027;A8ILL3;A8VYN1;A8VYN6;B0F9M8;B0JE60;B0LV25;B0UZQ6;B1A9K5;B1B6Q5;B1B727;B1PL00;B1Q4R7;B2CZD8;B2CZD9;B2DFV9;B2ZES7;B2ZRW3;B3VTP9;B5BLV9;B5KNJ5;B5M9A4;B5TM11;B6DX29;B6DZR3;B7XGC2;B8Y1W8;B8Y6A5;B9W1S7;C1KBJ7;C5IZK4;C5IZL9;C5IZN8;C5IZP0;C5IZP6;C5IZR7;C5J030;C5J4N4;C6K4E2;C6K4H2;C6L835;C7C5G5;C7E579;C7ENI1;C7FDP2;C7FDP3;C7FDP4;C7FDP9;C8C9V8;C8CH62;C8CH63;C8CH67;C8CH72;C8XTN1;C8XTN5;C8XTP3;C8XTP4;C8XTP5;C8XTP9;C8ZLL1;C9DRQ2;C9DSL3;C9E1E0;C9E1E1;C9WEK5;C9WEK7;C9WEL7;C9WEL8;C9WEM2;C9WEM7;C9WEN0;Q5ENH2;B6DX30;Q9GJ34;B8Y1X0;Q45FD7,5.95513,6.591832,5.182842,8.085896,8.545567,8.018867,6.296402,6.267899,5.942464,7.047859,6.797219,6.835513,7.046222,6.817281,6.99617,6.984527,6.318814,7.352241,NaN,NaN,NaN,5.251614,6.471321,5.716796,6.333044,6.826541,6.350868,6.518685,6.156367,6.182643,6.27351,6.087497,6.750987
A0N4X3;Q6NS93;A0N8U5;C9J6V6;A0JD32;A0N4V6;A2NVP9;Q6IRV4;A0N4Z1;Q6IPR8;A0N4W4;A6NMI7;Q6PIP7;Q6P4G7;P01848;A0N4W0;Q6NSA0;Q6P4I7;Q2YD82;Q6NSA6;Q8WUD0;A0N4Y1;A0N4X6;A0N4Z0;A0N8L7;A0N8P9;C9J8H2;P01737;A6NGB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.852211,4.973322,6.209488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0PJ76,NaN,NaN,NaN,5.467001,5.468628,5.797087,6.621581,6.660505,6.756225,6.146903,5.145693,5.787815,NaN,NaN,NaN,5.652362,4.383887,6.37462,NaN,NaN,NaN,NaN,NaN,4.334876,5.386446,5.241696,NaN,5.034348,5.209086,4.924977,6.225568,6.116475,6.88261
A0PJW6,5.093212,5.70021,5.143296,5.160469,6.052963,5.020982,4.98063,NaN,4.899547,5.739564,NaN,5.59752,5.24839,NaN,5.314962,4.272468,NaN,NaN,5.786468,NaN,4.22611,5.647168,6.713087,6.44417,5.837639,6.098575,6.163787,NaN,4.883991,NaN,5.785187,5.469896,6.20137
A0PJZ3;C9JND4;C9J3Q6,NaN,NaN,NaN,4.562721,4.913416,5.090082,NaN,NaN,3.987237,NaN,NaN,3.956092,NaN,NaN,NaN,4.204554,NaN,NaN,NaN,NaN,NaN,NaN,4.555892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0PK00,NaN,NaN,NaN,NaN,5.875322,5.891588,NaN,5.594514,5.232081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.795227,NaN,4.652401,NaN,NaN,5.218746,NaN,NaN,4.947345,5.005867,NaN,4.976511,4.118298,6.574529,5.113241,NaN
A0PK02,NaN,5.186843,5.014688,NaN,NaN,NaN,5.923508,NaN,5.781698,5.38144,5.096388,5.542477,NaN,NaN,NaN,NaN,NaN,NaN,5.429252,NaN,NaN,NaN,6.100198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0T4C8;Q9NRA0-1;Q9NRA0;B4DU87;B7Z4T1;Q9NRA0-2;Q8N2M3;B3KV83;Q9NRA0-3,NaN,NaN,4.372286,4.582859,NaN,NaN,NaN,NaN,5.268601,NaN,NaN,4.021313,NaN,NaN,NaN,3.907073,NaN,4.938985,NaN,NaN,4.004579,4.18418,NaN,5.058198,NaN,NaN,NaN,NaN,NaN,4.349841,NaN,NaN,NaN
A1A4S6;B4E2W2;Q3KQX3;Q6IA27;Q86T21;Q8ND72;Q9H7G7,4.037227,NaN,NaN,4.210051,NaN,5.083825,NaN,NaN,4.466645,NaN,NaN,4.614939,NaN,NaN,NaN,NaN,NaN,4.693357,NaN,NaN,NaN,NaN,4.779611,4.205069,NaN,5.086146,5.254548,NaN,3.615645,5.151738,3.820582,NaN,5.23573
A1A586;Q96EC4;Q9BVU3,NaN,NaN,6.277311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1A5D9-1;A1A5D9;A1A5D9-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.699178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.849788,NaN,NaN,5.171141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1IGU5;B4DTT4;B4DUA3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.949112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.223158,5.122674,4.831787,NaN,NaN,NaN,NaN,NaN,3.18876,NaN,NaN,NaN
A1L020,NaN,NaN,NaN,NaN,4.353416,NaN,5.602678,NaN,5.502209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.133315,4.83139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.276462,5.56772,NaN,5.028896
A1L0S7;B7Z6H8;Q0VG54;Q9HBL0;B2RU35;Q0VG55,5.1827,NaN,3.775042,NaN,NaN,NaN,NaN,NaN,3.386909,4.750354,4.250762,5.426755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.200823,4.508099,3.806214,NaN,5.171434,NaN,6.218588,6.254161,6.658507
A1L0T0-1;A1L0T0;Q59GP4,6.197914,6.917348,5.605607,6.628307,7.171317,6.174612,6.105067,6.98063,6.357687,6.294047,6.31046,6.383223,6.704039,6.50496,6.093106,6.240599,5.441664,6.178142,6.03599,NaN,4.683542,6.373868,7.440752,6.977742,6.778593,7.683146,7.109241,6.385839,5.179437,5.580138,NaN,6.680462,6.723718
A1L0V1;B4DHH3;Q1HE25;B3KUX9;B3V8S3;B4DFY0;B4DRP5;B7Z565;Q86TX4;B7TY16,7.618466,8.083467,6.691568,7.850303,8.229554,8.017701,7.005395,7.381639,7.079398,7.439001,7.070924,7.325249,7.506113,6.970923,7.107413,6.939599,6.1329,7.399189,6.95125,5.794676,5.799216,5.997762,6.802507,6.242044,7.543012,7.846319,7.769252,7.484471,7.221961,6.728248,7.863721,8.097777,8.429623
A1L188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.417687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1L390-1;A1L390;A1L390-3;A1L390-2,5.176149,5.356198,5.388652,NaN,NaN,3.389839,4.698518,NaN,4.375188,4.335779,4.205502,3.845817,NaN,3.791213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96578,5.180212,5.468391,NaN,NaN,3.238548,5.356179,5.818951,6.370643
A1L3A5;Q9BQF6-2;Q9BQF6;A8MW39;Q9BQF6-1;B4DM92;Q9BQF6-4,NaN,NaN,NaN,NaN,NaN,NaN,4.850033,NaN,NaN,NaN,5.683416,5.349452,NaN,NaN,3.625662,4.730588,NaN,4.125579,4.652111,5.445729,3.93918,4.399587,4.654764,5.040761,4.188788,NaN,4.365675,3.847628,NaN,4.169439,NaN,NaN,4.725993
A1L3X0,5.324632,5.998438,5.855125,5.866789,6.576503,5.759101,NaN,NaN,5.812051,NaN,NaN,NaN,6.051268,5.352665,5.569386,NaN,NaN,4.48084,5.953097,NaN,NaN,5.76043,6.505042,6.270842,6.318898,5.382881,5.941402,5.23965,NaN,NaN,5.285647,5.462862,5.936388
A1L430;A8MSP8;Q8IYJ1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.971948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1L473;C9JMH9;Q9Y6F8-2;Q9Y6F8;A8K8F3;A8K8L0;Q9Y6F7;Q9Y6F8-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1L497;Q9UPS8-3;Q9UPS8;Q9UPS8-1,NaN,NaN,3.47631,NaN,NaN,3.966489,2.412847,NaN,3.967014,NaN,NaN,NaN,NaN,NaN,3.055034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.479805,NaN,3.82243,3.543584,NaN,NaN,NaN,4.359836,NaN,NaN
