Uniprot,iBAQ A549_1,iBAQ A549_2,iBAQ A549_3,iBAQ GAMG_1,iBAQ GAMG_2,iBAQ GAMG_3,iBAQ HEK293_1,iBAQ HEK293_2,iBAQ HEK293_3,iBAQ HeLa_1,iBAQ HeLa_2,iBAQ HeLa_3,iBAQ HepG2_1,iBAQ HepG2_2,iBAQ HepG2_3,iBAQ Jurkat_1,iBAQ Jurkat_2,iBAQ Jurkat_3,iBAQ K562_1,iBAQ K562_2,iBAQ K562_3,iBAQ LnCap_1,iBAQ LnCap_2,iBAQ LnCap_3,iBAQ MCF7_1,iBAQ MCF7_2,iBAQ MCF7_3,iBAQ RKO_1,iBAQ RKO_2,iBAQ RKO_3,iBAQ U2OS_1,iBAQ U2OS_2,iBAQ U2OS_3
Q9BQ95-1;Q9BQ95;Q9BQ95-2,4.708761,5.691497,5.342936,5.814514,6.415324,5.550498,6.161278,6.553713,6.277128,6.262641,5.715945,6.245686,4.948354,4.888303,4.337379,5.562994,4.894505,6.266397,6.344117,4.867143,4.849143,4.750994,6.103393,5.607926,5.903307,6.450572,6.183241,5.549616,5.156398,5.498738,5.007833,4.840294,6.001215
Q9BQA1;B4DP38;Q5QNY9,6.88484,7.579955,5.91657,7.019116,7.685536,6.960723,7.63758,7.989872,7.542614,7.130366,7.07613,7.060396,7.635624,7.278891,7.414104,7.034628,6.800772,7.378652,7.578559,6.750932,6.98834,6.925745,7.660078,7.159688,7.357954,7.643788,7.307197,7.068594,6.758026,6.660989,7.361822,7.447484,7.675283
Q9BQA9,5.503014,5.277815,NaN,6.395588,6.896228,6.225309,NaN,NaN,5.591788,NaN,5.298089,NaN,5.712035,NaN,5.22678,5.773816,5.706735,5.432777,NaN,NaN,NaN,5.608697,5.5619,5.72702,5.927129,6.353763,5.91959,4.756704,NaN,NaN,4.861355,NaN,6.282645
Q9BQB6-1;Q9BQB6;B5B596;Q9BQB6-2;A8MSV6;A6NIQ6,6.965686,7.203495,7.1529,7.343369,7.61116,7.059412,6.926641,7.479143,6.776272,7.325598,7.276393,7.269093,7.195014,6.986893,7.181615,6.594448,6.423721,6.861236,7.090752,6.54958,NaN,7.063183,7.58948,7.379831,6.870989,7.401814,6.957004,7.022346,6.239475,NaN,6.691409,NaN,NaN
Q9BQC3;B3KRB8;B4DNI8,NaN,5.749496,NaN,NaN,5.454189,5.464966,6.493124,6.751771,6.306404,5.364664,4.821592,5.083216,NaN,4.694807,5.5217,NaN,3.776192,5.339749,6.375883,4.907836,5.603588,NaN,5.699994,5.360442,5.043087,6.098471,5.797254,5.615876,5.056981,5.533009,5.861612,5.780072,6.347837
Q9BQC6,6.508705,6.04501,5.234897,6.57904,NaN,6.477888,6.959704,6.157699,7.040998,NaN,NaN,6.735223,6.793336,NaN,6.685921,6.139501,NaN,6.183013,6.958592,NaN,3.87458,6.965874,7.67554,7.453792,6.923705,6.628613,7.123623,NaN,NaN,4.671034,6.564204,6.18673,6.485906
Q9BQD7,5.633347,5.593375,4.135355,NaN,NaN,4.393137,NaN,NaN,NaN,NaN,4.762844,5.097778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.490969,NaN,4.304835,NaN,4.896101,6.281828,5.428265,NaN,NaN,NaN,NaN,NaN,NaN
Q9BQE3;Q53GA7;B7Z1K5;Q8N532,6.52705,7.265973,6.256309,6.870842,7.759199,6.969211,6.474391,7.062657,7.10209,6.876962,6.857507,7.031933,7.041432,6.448459,6.945109,6.394417,5.810783,7.15048,6.999957,5.849106,7.23631,6.27358,7.638639,7.22417,6.775676,7.328807,7.299834,6.948882,6.385678,7.198767,7.001561,7.476687,7.652353
Q9BQE4;Q6GYA4,5.364626,5.768476,5.792791,5.165719,5.617954,5.43492,4.914163,NaN,4.752532,5.317854,NaN,3.772351,NaN,NaN,NaN,NaN,NaN,4.52643,5.012921,NaN,NaN,5.885101,6.104077,6.113241,6.201916,6.0445,6.09054,NaN,NaN,NaN,6.133315,5.566049,4.996857
Q9BQE9-1;Q9BQE9;C9JWD3;Q9BQE9-2,NaN,NaN,5.406012,NaN,NaN,5.618393,5.842035,NaN,NaN,5.716479,NaN,5.373115,NaN,NaN,NaN,NaN,NaN,NaN,6.120771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.469336,NaN,NaN
Q9BQG0-2;Q9BQG0;Q9BQG0-1;B4DE42,6.952797,7.353647,6.421818,6.57679,6.982755,6.401676,6.919052,7.461409,7.114411,7.256381,7.013596,6.980644,7.100129,6.775967,6.918654,6.475104,5.872675,6.514773,6.758193,6.068297,5.886891,7.104999,7.663088,7.536293,6.907309,7.316641,7.182072,7.303607,6.779863,5.991824,6.464266,6.742584,7.156731
Q9BQG2;B4E1W3,NaN,NaN,NaN,5.338536,5.987465,5.506573,5.496431,NaN,5.811434,4.846486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.593984,NaN,NaN,NaN,5.18327,5.391023,4.748204,5.435924,5.010215,4.954223,NaN,NaN,NaN,NaN,NaN
Q9BQI3-1;Q9BQI3;A8K2R2;Q549K6;Q9BQI3-2;B4DIP4;C9J257;Q75MR0,NaN,NaN,4.069927,NaN,4.073572,NaN,5.515741,5.415491,5.590016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.123982,NaN,NaN,NaN,NaN,NaN,NaN,4.386552,5.262973,NaN,NaN,NaN,NaN,NaN,5.059033
Q9BQI6;B4DR33,NaN,NaN,3.89329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.463639,NaN,NaN,NaN,NaN,NaN,2.904927,NaN,NaN,3.318251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BQK8-1;Q9BQK8;Q9BQK8-2;Q5JYP6,NaN,5.107685,NaN,NaN,4.474406,5.060169,4.099439,NaN,NaN,4.06989,NaN,3.646374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.898149,NaN,5.88846,5.723472,5.740418,NaN,NaN,4.398044,NaN,NaN,4.022758
Q9BQL6-1;Q9BQL6;B2RAX1;Q49AC8;Q54A15;Q9BQL6-4,5.381278,6.343901,4.977664,NaN,5.329296,5.101919,4.998394,6.29365,5.899848,5.767579,5.305824,6.06774,6.012162,5.624107,5.280374,NaN,NaN,NaN,NaN,NaN,NaN,4.714045,6.242442,5.313488,NaN,4.675952,4.156337,6.19293,6.489986,4.782838,4.582063,4.986301,5.204662
Q9BQL6-2;Q9BQL6;Q5JWV4,NaN,NaN,NaN,NaN,NaN,NaN,4.620261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BQP7;Q5QPE8,6.090893,6.640928,5.376048,5.900619,6.633307,6.1782,6.149219,6.787241,6.484044,6.332176,5.962928,5.860008,6.81189,6.201179,6.295831,5.498269,5.207203,6.202052,5.727086,4.337,5.45263,5.922004,6.906594,6.4205,6.09258,6.672717,6.276623,6.313846,6.314352,5.895737,6.319835,6.366889,6.696784
Q9BQQ3-1;Q9BQQ3;B3KWC8;C9IZI9;Q9BQQ3-2;C9J0V5;Q9BQQ3-3;C9JBH8,NaN,5.870743,NaN,5.208817,6.49421,6.102948,NaN,6.3548,6.148356,NaN,5.208737,6.040602,NaN,NaN,NaN,NaN,NaN,5.42083,5.278227,NaN,4.955385,NaN,5.834942,5.761168,NaN,5.491011,5.347857,NaN,4.813941,NaN,NaN,NaN,5.389804
Q9BQS7-1;Q9BQS7;Q1HE23;Q9BQS7-2;Q5JZ08;B1AJX8;B4DFV3;B4DI78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.839176,5.009026,4.884699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BQS8-1;Q9BQS8;B7ZKT7,4.375426,NaN,4.332438,5.599632,6.002943,6.039454,4.529212,5.106769,5.465145,4.264723,3.047859,4.398582,3.721596,NaN,7.058008,NaN,NaN,4.21096,4.063859,NaN,4.115244,4.785572,5.730783,4.953716,3.64556,4.405176,NaN,4.375426,4.63272,4.452752,4.354608,5.0423,4.847857
Q9BQT8;A8K0L0,4.46446,NaN,5.133858,NaN,NaN,NaN,4.556942,5.668386,5.786333,4.706377,5.001734,3.801513,5.850958,5.713373,5.387496,NaN,NaN,NaN,6.746432,6.109916,4.096771,5.444747,6.241895,6.065356,4.997535,NaN,5.532194,5.405722,4.877095,NaN,NaN,NaN,NaN
Q9BQY4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.030154,6.350752,6.585799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BR61;B2RAA8,4.875854,5.385714,5.151462,5.205421,NaN,5.771764,5.379414,NaN,5.932149,5.770844,5.620937,5.729885,4.368436,NaN,4.03527,5.238623,NaN,6.150142,5.168674,4.537189,4.773911,4.415908,NaN,4.97316,5.420583,5.665318,NaN,4.662049,NaN,4.495378,4.576007,5.744512,6.073425
