gene,abundance
b0002,2452
b0003,293
b0004,4746
b0005,
b0006,103
b0007,
b0008,8762
b0009,204
b0010,
b0011,
b0013,
b0014,8539
b0015,597
b0018,
b0019,
b0020,
b0023,15564
b0024,
b0025,
b0026,1925
b0027,
b0028,1828
b0029,236
b0030,230
b0031,807
b0032,1824
b0033,1788
b0034,
b0035,
b0036,
b0037,
b0038,
b0039,
b0040,
b0041,
b0042,
b0043,
b0044,
b0045,
b0046,
b0047,
b0048,386
b0049,99
b0050,
b0051,288
b0052,
b0053,1866
b0054,76
b0055,
b0058,
b0059,120
b0060,
b0061,
b0062,
b0063,
b0065,
b0066,
b0067,
b0068,1000
b0069,
b0070,
b0071,9936
b0072,5898
b0073,5899
b0074,5505
b0075,
b0076,
b0077,957
b0078,1161
b0080,404
b0081,
b0082,198
b0083,
b0084,
b0085,134
b0086,151
b0087,
b0088,90
b0089,
b0090,
b0091,150
b0092,126
b0093,
b0094,500
b0095,2714
b0096,
b0097,
b0098,839
b0099,
b0101,
b0102,178
b0103,
b0104,526
b0106,
b0107,
b0108,
b0109,436
b0110,
b0111,
b0112,650
b0113,173
b0114,7359
b0115,4135
b0116,14720
b0117,
b0118,11401
b0119,
b0120,
b0121,502
b0122,
b0123,693
b0124,187
b0125,942
b0126,3151
b0127,301
b0128,
b0129,
b0130,
b0131,
b0132,
b0133,1122
b0134,2667
b0135,
b0136,
b0137,
b0138,
b0139,
b0140,
b0141,
b0142,
b0143,
b0144,
b0145,5489
b0146,
b0147,
b0148,
b0149,286
b0150,
b0151,
b0152,
b0153,
b0154,1680
b0155,
b0156,1351
b0157,
b0158,
b0159,762
b0160,
b0161,1930
b0162,
b0163,3473
b0164,
b0166,4308
b0167,22
b0168,1295
b0169,18766
b0170,12106
b0171,1221
b0172,4588
b0173,
b0174,
b0175,
b0176,
b0177,587
b0178,8697
b0179,1142
b0180,3813
b0181,1050
b0182,553
b0183,
b0184,
b0185,2155
b0186,
b0187,274
b0188,
b0189,964
b0190,
b0191,
b0192,
b0193,
b0194,3368
b0195,
b0196,
b0197,13371
b0198,
b0199,523
b0200,
b0201,
b0204,
b0207,471
b0208,31
b0209,
b0210,
b0211,
b0212,466
b0213,
b0214,
b0215,
b0217,
b0218,
b0219,
b0220,1778
b0221,263
b0222,2710
b0223,
b0224,
b0225,
b0226,
b0227,
b0228,
b0229,
b0230,
b0231,
b0232,
b0233,
b0234,
b0235,
b0236,
b0237,3200
b0238,1396
b0239,117
b0240,1701
b0241,
b0242,466
b0243,786
b0244,
b0245,
b0246,
b0247,
b0248,
b0249,
b0250,
b0251,
b0252,
b0253,
b0254,
b0256,
b0258,
b0260,
b0261,70
b0262,
b0263,
b0266,
b0267,
b0268,
b0269,
b0270,
b0271,
b0272,
b0273,
b0276,
b0277,
b0278,
b0279,
b0280,
b0281,
b0283,
b0284,
b0285,
b0286,
b0287,
b0288,
b0289,
b0290,
b0291,
b0292,
b0293,
b0294,
b0295,
b0296,
b0297,
b0300,
b0301,
b0303,
b0304,
b0305,
b0306,
b0307,
b0308,
b0310,
b0311,
b0312,
b0313,
b0314,
b0315,
b0316,
b0317,
b0318,
b0319,
b0320,
b0321,
b0323,
b0324,
b0325,3175
b0326,
b0327,
b0328,
b0329,12456
b0330,
b0331,
b0333,
b0334,
b0335,
b0336,
b0337,1934
b0338,
b0339,
b0340,
b0341,
b0346,45
b0347,
b0348,
b0349,
b0350,
b0351,
b0352,
b0353,
b0354,277
b0355,
b0356,660
b0357,224
b0358,
b0363,
b0364,
b0365,
b0366,
b0367,
b0368,
b0369,1543
b0375,
b0376,
b0377,
b0378,
b0379,
b0380,
b0381,32
b0382,2190
b0383,
b0384,
b0385,
b0386,875
b0387,
b0388,399
b0389,
b0390,
b0391,
b0392,
b0393,461
b0394,347
b0396,
b0397,
b0398,
b0399,
b0400,
b0401,
b0402,
b0403,
b0404,
b0405,
b0406,144
b0407,4299
b0408,228
b0409,247
b0410,533
b0411,290
b0412,
b0413,257
b0414,59
b0415,8965
b0416,2241
b0417,204
b0418,
b0419,733
b0420,123
b0421,216
b0422,466
b0423,
b0424,509
b0425,
b0426,4731
b0427,
b0428,
b0429,
b0430,
b0431,1545
b0432,1868
b0433,
b0434,1446
b0435,1636
b0436,9717
b0437,4817
b0438,1497
b0439,1773
b0440,24351
b0441,1052
b0442,
b0443,246
b0444,411
b0445,
b0446,
b0447,
b0448,
b0449,
b0450,
b0451,
b0452,197
b0453,2724
b0454,
b0455,
b0456,
b0457,
b0458,
b0459,
b0460,
b0461,
b0462,308
b0463,1437
b0464,
b0465,
b0466,
b0467,
b0468,
b0469,1014
b0470,46
b0471,
b0472,
b0473,1630
b0474,4441
b0475,
b0476,
b0477,
b0478,
b0479,
b0480,639
b0481,435
b0482,
b0483,
b0484,460
b0485,
b0486,
b0487,
b0488,
b0489,
b0490,
b0491,
b0492,2093
b0493,
b0494,238
b0495,
b0496,
b0497,
b0498,
b0499,
b0502,
b0503,
b0504,
b0505,
b0506,82
b0507,
b0508,
b0509,
b0511,
b0512,
b0513,
b0514,
b0515,
b0516,
b0517,
b0518,
b0520,
b0521,
b0522,
b0523,2568
b0524,
b0525,4471
b0526,538
b0527,
b0528,1004
b0529,567
b0530,
b0531,
b0532,
b0533,
b0534,
b0535,
b0536,
b0537,
b0543,
b0544,
b0545,
b0546,
b0547,
b0548,
b0549,
b0550,
b0551,
b0553,
b0554,
b0555,
b0562,
b0564,
b0565,671
b0566,
b0567,
b0568,
b0569,
b0570,
b0571,202
b0572,286
b0573,2846
b0574,453
b0575,
b0576,
b0577,
b0578,2344
b0579,
b0580,
b0581,692
b0583,
b0584,
b0585,
b0586,
b0587,
b0588,
b0589,
b0590,
b0591,
b0592,89
b0593,
b0594,
b0595,
b0596,
b0597,
b0598,1663
b0599,
b0600,
b0601,
b0602,
b0603,
b0604,70
b0605,23350
b0606,1022
b0607,3569
b0608,
b0610,
b0611,
b0612,
b0613,
b0614,
b0615,
b0616,
b0617,
b0618,
b0619,
b0620,
b0621,
b0622,
b0623,20333
b0624,
b0627,
b0628,578
b0629,
b0630,
b0631,2734
b0632,1014
b0633,48
b0634,
b0635,
b0636,
b0637,
b0638,
b0639,
b0640,
b0641,
b0642,2352
b0643,1036
b0644,
b0645,
b0646,
b0647,
b0648,
b0649,
b0650,
b0651,186
b0652,
b0653,
b0654,
b0655,3836
b0657,
b0658,255
b0659,
b0660,855
b0661,
b0662,74
b0665,
b0670,
b0672,
b0673,
b0674,824
b0675,645
b0676,59
b0677,179
b0678,1478
b0679,798
b0680,1732
b0681,
b0682,
b0683,3068
b0684,241
b0685,
b0686,716
b0687,506
b0688,1897
b0689,
b0691,
b0692,
b0693,
b0694,
b0695,
b0696,
b0697,
b0698,
b0699,
b0700,
b0702,
b0703,
b0704,
b0705,
b0706,
b0707,
b0708,
b0709,
b0710,934
b0711,
b0712,113
b0713,
b0714,
b0715,
b0716,
b0717,
b0718,
b0719,
b0720,10764
b0721,
b0722,760
b0723,5908
b0724,5415
b0726,3894
b0727,6507
b0728,12948
b0729,11951
b0730,
b0731,
b0732,
b0733,1389
b0734,683
b0735,
b0736,
b0737,184
b0738,
b0739,
b0740,2812
b0741,125
b0742,870
b0746,
b0749,
b0750,256
b0751,
b0752,
b0753,
b0754,2622
b0755,8589
b0756,923
b0757,276
b0759,589
b0760,73
b0761,
b0762,
b0763,1414
b0764,
b0765,49
b0766,
b0767,2078
b0768,
b0769,
b0770,
b0771,
b0772,95
b0773,291
b0774,
b0775,
b0776,
b0777,
b0778,136
b0779,97
b0780,
b0781,
b0782,3611
b0783,370
b0784,406
b0785,397
b0786,
b0787,
b0788,
b0789,
b0790,
b0791,
b0792,
b0793,
b0794,
b0795,
b0796,
b0797,
b0798,
b0799,
b0800,1419
b0801,1675
b0802,
b0803,
b0804,
b0805,
b0806,
b0807,
b0808,
b0809,1449
b0810,
b0811,16723
b0812,12109
b0813,
b0814,
b0815,
b0816,
b0817,
b0818,
b0819,2193
b0820,292
b0821,
b0822,
b0823,
b0824,
b0825,
b0826,
b0827,308
b0828,
b0829,
b0830,855
b0831,
b0832,
b0833,
b0834,
b0835,
b0836,
b0837,
b0838,1906
b0839,1542
b0840,
b0841,
b0842,
b0843,
b0844,
b0845,
b0846,
b0847,
b0848,
b0849,
b0850,
b0851,155
b0852,
b0853,
b0854,3253
b0855,170
b0856,
b0857,
b0858,
b0859,
b0860,5137
b0861,
b0862,
b0863,3666
b0864,296
b0865,354
b0866,
b0867,
b0868,
b0869,
b0870,830
b0871,1655
b0872,
b0873,
b0874,
b0875,
b0876,
b0877,
b0878,
b0879,
b0880,2776
b0881,
b0882,1562
b0884,3914
b0885,
b0886,
b0887,
b0888,2568
b0889,5914
b0890,
b0891,1142
b0892,
b0893,2666
b0894,
b0895,
b0896,
b0897,2690
b0898,
b0899,
b0900,
b0901,
b0902,319
b0903,7702
b0904,
b0905,
b0906,
b0907,7356
b0908,547
b0909,
b0910,378
b0911,14568
b0912,6944
b0913,
b0914,77
b0915,
b0916,
b0917,596
b0918,502
b0919,
b0920,
b0921,
b0922,
b0923,231
b0924,
b0925,
b0926,
b0927,756
b0928,9443
b0929,3514
b0930,3672
b0931,552
b0932,1638
b0933,
b0934,
b0935,
b0936,
b0937,
b0938,
b0939,
b0940,
b0941,
b0942,
b0943,
b0944,
b0945,379
b0946,
b0947,197
b0948,19
b0949,
b0950,
b0951,
b0952,
b0953,778
b0954,6042
b0955,
b0956,202
b0957,6317
b0958,
b0959,
b0960,
b0961,
b0962,393
b0963,1286
b0964,
b0965,1829
b0966,
b0967,84
b0968,134
b0969,
b0970,
b0971,
b0972,
b0973,
b0974,
b0975,
b0976,
b0977,
b0978,
b0979,
b0980,
b0981,
b0982,
b0983,
b0984,
b0985,
b0986,
b0987,
b0989,
b0990,
b0991,
b0992,
b0993,
b0994,
b0995,
b0996,
b0997,
b0998,
b0999,
b1000,489
b1001,
b1002,1739
b1003,2391
b1004,6410
b1006,
b1007,
b1008,
b1009,
b1010,
b1011,
b1012,
b1013,
b1014,
b1015,
b1018,762
b1019,
b1020,
b1021,
b1022,
b1023,
b1024,
b1025,
b1026,
b1027,
b1028,
b1029,
b1032,
b1033,532
b1034,
b1035,672
b1036,
b1037,
b1038,
b1039,
b1040,
b1041,
b1042,
b1043,
b1044,
b1045,293
b1046,
b1047,
b1048,2606
b1049,54
b1050,
b1051,511
b1053,
b1054,
b1055,
b1056,1097
b1057,
b1058,
b1059,350
b1060,
b1061,
b1062,1531
b1063,
b1064,1884
b1065,
b1066,
b1067,593
b1068,
b1069,
b1070,
b1071,
b1072,
b1073,
b1074,
b1075,
b1076,
b1077,
