gene,abundance
b0002,1529
b0003,182
b0004,3681
b0005,
b0006,66
b0007,
b0008,6426
b0009,155
b0010,
b0011,
b0013,
b0014,6474
b0015,449
b0018,
b0019,
b0020,
b0023,11025
b0024,
b0025,
b0026,1492
b0027,
b0028,1283
b0029,175
b0030,237
b0031,611
b0032,1012
b0033,1086
b0034,
b0035,
b0036,
b0037,
b0038,
b0039,
b0040,
b0041,
b0042,
b0043,
b0044,
b0045,
b0046,
b0047,
b0048,386
b0049,83
b0050,
b0051,212
b0052,
b0053,1629
b0054,60
b0055,
b0058,
b0059,75
b0060,
b0061,
b0062,
b0063,
b0065,
b0066,
b0067,
b0068,638
b0069,
b0070,
b0071,9337
b0072,4989
b0073,5065
b0074,5494
b0075,
b0076,
b0077,856
b0078,865
b0080,390
b0081,
b0082,219
b0083,
b0084,
b0085,137
b0086,111
b0087,
b0088,79
b0089,
b0090,
b0091,100
b0092,97
b0093,
b0094,352
b0095,2152
b0096,
b0097,
b0098,677
b0099,
b0101,
b0102,162
b0103,
b0104,269
b0106,
b0107,
b0108,
b0109,364
b0110,
b0111,
b0112,428
b0113,100
b0114,6050
b0115,3148
b0116,10116
b0117,
b0118,10769
b0119,
b0120,
b0121,366
b0122,
b0123,410
b0124,128
b0125,757
b0126,2677
b0127,243
b0128,
b0129,
b0130,
b0131,
b0132,
b0133,951
b0134,2492
b0135,
b0136,
b0137,
b0138,
b0139,
b0140,
b0141,
b0142,
b0143,
b0144,
b0145,3770
b0146,
b0147,
b0148,
b0149,259
b0150,
b0151,
b0152,
b0153,
b0154,1147
b0155,
b0156,960
b0157,
b0158,
b0159,532
b0160,
b0161,1909
b0162,
b0163,3417
b0164,
b0166,3011
b0167,19
b0168,877
b0169,10997
b0170,7882
b0171,882
b0172,3583
b0173,
b0174,
b0175,
b0176,
b0177,456
b0178,7383
b0179,913
b0180,2441
b0181,933
b0182,
b0183,
b0184,
b0185,1903
b0186,
b0187,212
b0188,
b0189,669
b0190,
b0191,
b0192,
b0193,
b0194,2351
b0195,
b0196,
b0197,9575
b0198,
b0199,297
b0200,
b0201,
b0204,
b0207,534
b0208,29
b0209,
b0210,
b0211,
b0212,517
b0213,
b0214,
b0215,
b0217,
b0218,
b0219,
b0220,1496
b0221,269
b0222,2485
b0223,
b0224,
b0225,
b0226,
b0227,
b0228,
b0229,
b0230,
b0231,
b0232,
b0233,
b0234,
b0235,
b0236,
b0237,2381
b0238,1549
b0239,92
b0240,833
b0241,
b0242,377
b0243,754
b0244,
b0245,
b0246,
b0247,
b0248,
b0249,
b0250,
b0251,
b0252,
b0253,
b0254,
b0256,
b0258,
b0260,
b0261,70
b0262,
b0263,
b0266,
b0267,
b0268,
b0269,
b0270,
b0271,
b0272,
b0273,
b0276,
b0277,
b0278,
b0279,
b0280,
b0281,
b0283,
b0284,
b0285,
b0286,
b0287,
b0288,
b0289,
b0290,
b0291,
b0292,
b0293,
b0294,
b0295,
b0296,
b0297,
b0300,
b0301,
b0303,
b0304,
b0305,
b0306,
b0307,
b0308,
b0310,
b0311,
b0312,
b0313,
b0314,
b0315,
b0316,
b0317,
b0318,
b0319,
b0320,
b0321,
b0323,
b0324,
b0325,3731
b0326,
b0327,
b0328,
b0329,8314
b0330,
b0331,
b0333,
b0334,
b0335,
b0336,
b0337,979
b0338,
b0339,
