gene,abundance
b0002,4404
b0003,554
b0004,7188
b0005,
b0006,126
b0007,
b0008,10867
b0009,189
b0010,
b0011,
b0013,
b0014,9812
b0015,599
b0018,
b0019,
b0020,
b0023,22080
b0024,
b0025,
b0026,2135
b0027,
b0028,1960
b0029,275
b0030,146
b0031,937
b0032,3784
b0033,2766
b0034,
b0035,
b0036,
b0037,
b0038,
b0039,
b0040,
b0041,
b0042,
b0043,
b0044,
b0045,
b0046,
b0047,
b0048,394
b0049,103
b0050,
b0051,318
b0052,
b0053,1980
b0054,79
b0055,
b0058,
b0059,143
b0060,
b0061,
b0062,
b0063,
b0065,
b0066,
b0067,
b0068,1284
b0069,
b0070,
b0071,10146
b0072,5552
b0073,5096
b0074,4802
b0075,
b0076,
b0077,1033
b0078,1239
b0080,339
b0081,
b0082,228
b0083,
b0084,
b0085,172
b0086,211
b0087,
b0088,144
b0089,
b0090,
b0091,186
b0092,154
b0093,
b0094,448
b0095,3050
b0096,
b0097,
b0098,902
b0099,
b0101,
b0102,208
b0103,
b0104,989
b0106,
b0107,
b0108,
b0109,443
b0110,
b0111,
b0112,660
b0113,213
b0114,8539
b0115,4574
b0116,15612
b0117,
b0118,9093
b0119,
b0120,
b0121,891
b0122,
b0123,848
b0124,248
b0125,1239
b0126,4097
b0127,294
b0128,
b0129,
b0130,
b0131,
b0132,
b0133,1185
b0134,3152
b0135,
b0136,
b0137,
b0138,
b0139,
b0140,
b0141,
b0142,
b0143,
b0144,
b0145,6277
b0146,
b0147,
b0148,
b0149,298
b0150,
b0151,
b0152,
b0153,
b0154,2037
b0155,
b0156,1737
b0157,
b0158,
b0159,892
b0160,
b0161,1872
b0162,
b0163,3098
b0164,
b0166,5700
b0167,22
b0168,1534
b0169,21942
b0170,16181
b0171,1168
b0172,5420
b0173,
b0174,
b0175,
b0176,
b0177,592
b0178,9737
b0179,1255
b0180,5023
b0181,1246
b0182,523
b0183,
b0184,
b0185,2385
b0186,
b0187,306
b0188,
b0189,1083
b0190,
b0191,
b0192,
b0193,
b0194,4060
b0195,
b0196,
b0197,16092
b0198,
b0199,659
b0200,
b0201,
b0204,
b0207,255
b0208,27
b0209,
b0210,
b0211,
b0212,547
b0213,
b0214,
b0215,
b0217,
b0218,
b0219,
b0220,1526
b0221,188
b0222,2811
b0223,
b0224,
b0225,
b0226,
b0227,
b0228,
b0229,
b0230,
b0231,
b0232,
b0233,
b0234,
b0235,
b0236,
b0237,3201
b0238,2552
b0239,126
b0240,1858
b0241,
b0242,486
b0243,755
b0244,
b0245,
b0246,
b0247,
b0248,
b0249,
b0250,
b0251,
b0252,
b0253,
b0254,
b0256,
b0258,
b0260,
b0261,
b0262,
b0263,
b0266,
b0267,
b0268,
b0269,
b0270,
b0271,
b0272,
b0273,
b0276,
b0277,
b0278,
b0279,
b0280,
b0281,
b0283,
b0284,
b0285,
b0286,
b0287,
b0288,
b0289,
b0290,
b0291,
b0292,
b0293,
b0294,
b0295,
b0296,
b0297,
b0300,
b0301,
b0303,
b0304,
b0305,
b0306,
b0307,
b0308,
b0310,
b0311,
b0312,
b0313,
b0314,
b0315,
b0316,
b0317,
b0318,
b0319,
b0320,
b0321,
b0323,
b0324,
b0325,2547
b0326,
b0327,
b0328,
b0329,12267
b0330,
b0331,
b0333,
b0334,
b0335,
b0336,
b0337,3079
b0338,
b0339,
b0340,
b0341,
b0346,24
b0347,
b0348,
b0349,
b0350,
b0351,
b0352,
b0353,
b0354,352
b0355,
b0356,678
b0357,228
b0358,
b0363,
b0364,
b0365,
b0366,
b0367,
b0368,
b0369,1245
b0375,
b0376,
b0377,
b0378,
b0379,
b0380,
b0381,1369
b0382,2056
b0383,
b0384,
b0385,
b0386,928
b0387,
b0388,399
b0389,
b0390,239
b0391,
b0392,
b0393,463
b0394,308
b0396,
b0397,
b0398,
b0399,
b0400,
b0401,
b0402,
b0403,
b0404,
b0405,
b0406,212
b0407,4463
b0408,243
b0409,46
b0410,569
b0411,329
b0412,
b0413,170
b0414,47
b0415,10125
b0416,2543
b0417,234
b0418,
b0419,632
b0420,115
b0421,211
b0422,428
b0423,
b0424,604
b0425,
b0426,5366
b0427,
b0428,
b0429,
b0430,
b0431,2216
b0432,2074
b0433,
