id,HeLa_geiger,HepG2_geiger,LnCap_geiger,HEK293_geiger,A549_geiger,K562_geiger,MCF7_geiger,Jurkat_geiger,RKO_geiger,GAMG_geiger,U2OS_geiger
P23919,91.847339383748746,119.45851715801909,151.69774521178149,141.65290044944155,149.17283843476261,75.114718202856253,156.91456732978239,107.33067353140939,93.825948843582793,150.70956166397727,159.75186336275365
Q07960,105.07969232816123,88.939587403876786,111.11450917322229,122.72898265890291,132.29980945939568,71.287441997860967,195.292199703341,121.04416803324693,92.436198683699743,168.06751394854314,155.98842133443324
P40425,18.330166685724407,,,47.701839630529143,,,19.055994542175252,,,,26.205831850653642
P40429,264.62378315427571,231.28419654540542,301.54390777987715,325.70492097502182,216.46569434661774,182.16000767832551,297.56306502137846,199.54503421544158,190.04951856708908,272.66832854103535,321.84183957208478
P05386,314.91025073329905,285.04605705663744,311.62814830938652,348.15156172245838,255.96586989092705,215.0239597802514,356.56642578680771,240.44025770444296,302.54231138250435,368.17555466607831,374.25128174085739
P05387,337.32196770387344,296.75447979522409,332.63760003925694,490.22970717145768,252.3876143569662,279.73886650050559,375.24743986794101,312.02833875486141,295.73611031010836,393.66161783673851,431.13502767393464
P02760,,100.64799501380401,,,,,,,,,
P39023,292.51285969882446,239.13373971078929,314.61515847978819,369.97470366966218,282.46273093481449,216.74759654855268,322.46847862706028,223.10078457868829,225.1003770172147,302.54453540830303,330.49044439402132
Q9P215,,,17.701724386749511,35.143058428664389,22.095751396107495,12.067952349568916,,13.422848897828377,37.54172404259694,,
Q9H3M7,30.199004572820648,32.800719622047765,41.956745511644307,18.245414229596634,,44.976605871130744,54.38922466183277,,31.899186153705784,38.619122559573434,
Q6NX49,,,,15.014130263912071,,,,,,,
P53701,154.85306738555281,75.893698441393681,127.5464765487953,146.98550790090704,117.9611004979991,97.566828747438208,136.55068257489873,59.559613906390744,59.649402861069994,158.09775632550759,84.25004565149338
Q9H967,32.002747370987599,,,31.421310831968547,30.687827459704152,8.454948693095611,,54.557264970857126,,21.607586027487883,
Q14562,64.172390807029828,34.787011826791293,41.760344961709983,77.227181414134805,45.591658553408671,38.0762983580452,59.753722121653823,57.555453383086252,26.212692623044461,54.242349146269767,54.433242291417649
Q14566,142.31263728778674,37.524692777615734,103.46996398411044,218.01087086923644,140.40981420055491,124.54868030669546,198.28421203557843,153.26304110622993,103.92779592170051,130.52006143370332,169.67414816142931
Q9NRH1,,,,60.434731856484589,,33.66318523813549,41.467307952310478,21.19050405275431,29.874030726730002,41.542668909044622,42.125225085202864
Q9NRH3,,,21.109624338979231,,,,,,,,
Q92526,57.768775111573362,57.917402649915893,36.795378322756314,39.387143777234463,33.659643696128697,29.508616531779062,41.468961114188346,119.46316175019777,33.385036425711867,,52.944593818561501
Q92521,,,29.578315757241462,,,14.751758114495725,,,10.287510514054313,39.337898956835815,
Q92520,62.574838330324987,69.745797468804582,136.79944940958083,74.472549660084965,66.992037019201717,35.254169754206046,105.17798794620079,39.266738613762044,70.132396742328652,150.92046261609786,71.357022176022099
Q92522,102.89501287862025,126.67845847880278,206.64048085305987,199.32546481865211,146.78630024817406,72.150293394213705,210.05698270166397,187.49336242049776,91.306577271346853,98.296137617527492,202.29005639431034
Q96HA8,,,,41.63179909572316,31.530742249424396,,67.758613420369457,38.034283968414286,32.567182331503936,45.801513719245811,79.401785662864228
P19075,60.456399120871048,,,,21.650628489467739,,,,,,
O95528,,,,,,,45.417043553548311,,,,
Q99519,49.728918652720466,120.91525608060554,29.955250646580218,44.592501169180615,36.742324596736857,34.167574870447652,57.177963571174836,27.887931000610084,38.657919087831175,146.12972984226539,67.520965387750479
Q4VC31,150.08200024793925,162.22532363672318,192.93821653840033,181.64091217592605,99.864588939756786,117.65573707667124,148.6733566813995,120.79993506017934,93.568743502473964,118.35649526512823,128.11562453303375
Q9Y5A6,,,,,,10.261509027883955,,,,,
Q13643,55.152809225568184,37.235867577346831,31.856527564848079,93.852379690056011,41.917600723752344,85.794252550746876,47.021025377184763,30.241104048991115,62.837893683511439,62.403168185764393,130.89860035145094
Q13641,51.975979074055765,,,36.159996313065804,63.367928506449488,,124.24048307258094,,19.911196324463077,78.033366787099467,57.32012850287024
Q02127,69.771033844768738,47.281640446933125,159.49549692081931,47.812501361407875,51.856081503156503,46.928564148919399,103.880186062139,43.4996690962816,66.250030776323953,55.640602893702066,61.983361628663907
Q96CN9,29.540988248393031,25.659277699439787,45.644474147906315,35.247001430462241,23.175976010959474,21.003380148403057,51.408641332352182,19.159897990191634,24.764311548577609,41.183681188578682,33.251326723747596
Q6ZRV2,27.096212031154078,18.518091894377534,34.895279929279766,31.587131671422863,49.911055966862939,26.600800428029178,95.483166909800374,21.931095894257528,46.467134987834726,,26.361205909216352
Q96CN7,95.829576588401395,140.43162273031643,130.82513148217086,159.82802031452388,68.991376585001774,108.39807946647893,202.93891941064064,102.30951263960337,78.843353983597638,105.79856657401763,142.96546643449344
Q96CN5,,,,,12.786158695741943,,,42.410600342197675,,,
P10644,109.1808726798164,127.9899931932719,120.20608625710172,131.7508613192775,99.945380762652164,69.370961092429894,146.72738231404935,135.10331836062295,49.893938857243178,178.57885122770313,115.88292042534397
P48553,15.149382020427195,14.788696587976085,,28.488427386250805,21.046654196224328,14.505664480701025,17.495548622921092,32.298859769664091,13.418718553051288,35.445419584312333,34.225032349345568
Q14CS0,,,,29.916012782815894,25.669955897666402,12.79118482849368,,,22.431725291178033,31.734671420951329,36.436565388602645
Q8NCJ5,,,36.501376924431064,23.542669311883738,14.512478252032279,21.187493198354868,,,28.652259332749679,,22.159584430259756
Q9Y296,45.683072658361596,63.661861346649346,74.735021861430141,94.178162238236453,57.475725239257706,73.503770591348868,87.461006603274953,79.454106331672435,49.59184004284257,94.365458210365901,87.411096779957404
Q9Y294,84.35290217792749,62.726119905384316,70.130473419397774,119.35932809023483,50.132169976281368,83.956811912263632,87.592279267530714,112.15012835148143,62.808064683856458,79.532950111300366,108.38567299046031
Q9Y295,118.17439507435013,126.20806440140097,120.91507855185758,185.23447545304495,126.79679569397688,114.58756318154974,134.82744783534361,105.47613932017994,116.81199669478396,126.46617067302206,165.13351250626974
Q6ICB0,102.03694889989559,57.694487875240611,48.845156268875236,141.96889701551484,53.221494838855634,69.158703500026434,93.413713664960099,37.092701782388993,58.662659066179764,68.72877161129496,107.14379070091074
O75420,24.647714007781797,13.556603149337947,35.094056514991635,37.017074559177168,39.698671621669966,25.828884869237541,32.001984163868926,17.782951910855218,18.912292698194232,42.178052851346585,38.627113603340327
O75427,29.675369940242849,30.876426071450588,31.476521588556199,40.609445786470076,27.684169614264391,37.585603059561926,51.015495008625209,35.644977043719088,15.28434430326922,52.048800907334176,52.340018081200704
O00505,99.339949780696188,103.02529234478062,71.360870364264372,123.98224939025239,93.036560047939929,72.344029221317953,107.2441582833016,95.772766506614289,90.977740719310987,108.32990054659474,137.36148221848956
Q01581,101.91706957423195,103.48866356190592,83.156806143670693,170.02307334638908,121.39419471908536,126.59730165434449,143.08102987948712,115.70761418469669,33.74886563707593,216.55057192636971,226.17278271201621
P05388,252.95367735408558,249.23104115567151,294.25738104726855,335.15854342619849,239.20458272017569,202.70661696833938,326.57251096123372,217.61528693858347,217.30288244716016,285.5208122114658,324.42720143146556
Q8IYD1,31.627614443400752,,36.239698162619902,59.461314037130478,23.947260270980347,,,38.535637866324358,36.537974442139138,50.672077981373249,73.849679222958414
O75390,184.47766451757829,207.59725037193354,301.58700672917536,259.57949474945059,193.76038029553698,130.31569347429016,255.79749158997387,174.24938269431041,167.24198555411292,237.22627827847202,231.12271353540959
O75396,169.73118764592772,138.07857919300295,218.9263735691251,173.04993387604705,115.21393184325159,78.045360207961323,239.2864933155239,134.52530505288931,94.213186898944045,188.17239842919548,208.67558874560905
O75394,96.909417295861601,107.00626749763808,145.65793980868446,137.31573227295294,86.691502320821812,58.375662061251148,131.07036941956866,76.703207335576096,51.743611272830826,98.91236479175376,114.9396643645465
Q8IVD9,41.16056915433861,25.351576208589268,54.800158057821001,80.819806760254991,46.938142619702838,41.220846080133192,56.03112013620364,43.458957275951278,28.419741249808823,85.93970619895174,91.180615016862305
Q66K89,,,26.657470759463088,37.157589277683009,,38.308498486735687,,36.274177572530611,,,
Q9BSD7,79.632441306967735,68.435216537531844,187.5569477774882,136.52409113331407,92.396494688767234,75.66725932587488,72.071894867899147,122.85259796731127,66.229203807329895,96.935426804408053,108.61423293335152
P68543,,24.001567045666668,,,,,,12.395787301267331,17.002907029207059,40.231538063298814,35.685092784273152
Q9UI09,78.912103614161794,109.85979490933819,176.70992995700536,98.688688003682387,97.220080913207497,64.358708140926183,126.83777140644217,73.854951123528309,79.865295194366666,112.87318652249546,84.884647714687702
P49406,89.763522047316656,75.999774267211379,133.36119824717321,118.505160465247,87.576674561261498,57.841284874420438,115.53104715674338,47.492780746567256,44.772358511178822,85.493798951957956,107.75360694911087
